keyword,wordCityCount,tfLabel,pseg,mi2I,mi2z_rand,mi2p_rand
车,49,3,zg,0.04832718377930726,1.2239139919352011,0.22098467473751482
淅淅沥沥,75,3,z,0.11844954855727186,2.895265891900776,0.0037883749083682527
淅沥沥,34,3,z,0.13874624668886232,3.4073245266900933,0.0006560307547751609
湿漉漉,33,3,z,0.1057312902025263,2.613303105302527,0.008967173570213482
瑟瑟,19,3,z,0.1561914919306977,3.8737144897947147,0.00010718898133266208
湿湿的,12,3,z,0.008270240594877043,0.272268723320691,0.7854154032636147
悠闲,9,3,z,0.019041292415169657,0.5474907844576157,0.5840415999943511
雾茫茫,8,3,z,0.08404968178188359,2.200408783929626,0.02777790517847012
滔天,8,3,z,0.0793115867412565,2.080250922477646,0.03750252372532037
嘀嘀,8,3,z,-0.03421556175342232,-0.7987920817033339,0.424410982702787
预警,69,3,vn,0.033150206222225226,0.8575238896207243,0.39115541781410323
漫步,51,3,vn,0.04992016845562807,1.261608567867647,0.20708967163348913
预报,41,3,vn,0.1400087001322031,3.429015305163478,0.0006057753657946474
抗旱,13,3,vn,0.054577142354046426,1.4148199787193556,0.15712128480941323
巡查,11,3,vn,0.11859261778264552,3.01844744983068,0.002540734618784901
供电,9,3,vn,0.1770438587111492,4.523142532642527,6.09281802388395e-06
突袭,8,3,vn,-0.026008560459395643,-0.5906629251608416,0.55474629391625
停,125,3,v,0.11628701362444367,2.8369542915991515,0.0045546131883229535
出门,91,3,v,0.09951083404659296,2.4400805930330587,0.014683985585158599
冒,71,3,v,0.17479609267732968,4.243171008026694,2.2038336711549533e-05
打雷,65,3,v,0.06206037447621711,1.5493740376306646,0.12129183114035258
上班,61,3,v,0.03803819292876439,0.9752814269091924,0.32942068082680676
闪电,58,3,v,0.16789139879811152,4.084360174621914,4.41984307861798e-05
睡觉,55,3,v,0.06742099823019193,1.6798824486792883,0.09298018930440466
湿透,50,3,v,-0.005837739250969224,-0.07480253695685589,0.9403718232755718
听,49,3,v,0.07520811292039561,1.8684476223568123,0.06169970441527095
没停,45,3,v,0.11677440753413808,2.8676890882142163,0.004134816425123589
出行,42,3,v,0.12117243233062053,2.975602843410166,0.0029241328494480356
淋成,38,3,v,0.035712889805424246,0.9241895420909457,0.35538763955805974
下起,38,3,v,0.10100669860354458,2.49440587962287,0.012616818213704306
阻挡,38,3,v,0.023666927440351322,0.6345025525416897,0.5257529015165698
挡不住,37,3,v,0.09147054174920131,2.2658902699517998,0.02345810250812419
没带,35,3,v,0.13020950949134355,3.2003410378980632,0.0013726506339970523
融洽,33,3,v,0.04585324654494351,1.170413479946567,0.24183461355919977
上船,32,3,v,0.2927949918186478,7.12443875120404,1.0451639553821224e-12
哗哗,32,3,v,0.11204282597638549,2.7667271687601547,0.005662211998399558
防范,32,3,v,0.01727329451275104,0.4819507568290508,0.6298409281148589
下班,30,3,v,0.08041567221837213,2.0063686037474553,0.044816935473244834
停过,30,3,v,0.10961317567141314,2.7110335319198597,0.0067073842803180295
讨厌,29,3,v,0.14283848667486815,3.5149747175618145,0.0004397958556023873
路滑,27,3,v,0.1284478349066279,3.1716155336052165,0.0015159355488512105
外卖,26,3,v,0.07282074932626602,1.8278751776351616,0.06756828718861208
瓢泼,26,3,v,-0.029317131843384,-0.6436616662382473,0.5197948528395211
上涨,26,3,v,0.1385565697592155,3.4185533893010422,0.0006295496570865033
出不去,24,3,v,0.07729137997297332,1.9392621428923336,0.0524694261072034
祈祷,23,3,v,0.22960533884040601,5.636352533691691,1.7368963600716825e-08
颠倒,20,3,v,0.07123305597341763,1.8002048447684629,0.07182829913469391
打伞,19,3,v,0.05782021295754355,1.4757223764506915,0.14001843638274547
吵醒,19,3,v,0.0002077641416707592,0.07130637888496057,0.9431539185390272
淋死,19,3,v,0.10762933102645413,2.6899169416597593,0.007146980481818499
肆虐,18,3,v,0.10185934740575459,2.5531802441700715,0.010674424053177978
浇,18,3,v,0.19194635759007014,4.752602194940114,2.0081521032722094e-06
溅,16,3,v,-0.026748973792784535,-0.5888731459788115,0.5559463732219188
刮,15,3,v,0.08074196862713048,2.0496337239548907,0.04040018692814984
浇灭,14,3,v,-0.04270526534273689,-0.9845420639018349,0.3248490599172278
疏导,14,3,v,0.11930131258035809,3.0042243916729814,0.0026625887128375325
登陆,14,3,v,0.19631414233906433,4.900358461835514,9.566195393606591e-07
防御,14,3,v,-0.047521476162363394,-1.1031220648288471,0.2699741600005904
淋得,14,3,v,-0.016899540958324803,-0.34917892552843727,0.7269549866677432
支援,14,3,v,0.09634544650279783,2.4390276586594206,0.01472684103823374
开船,13,3,v,0.1433875481226706,3.60788672307557,0.0003087012064890704
保佑,13,3,v,0.25385785768594593,6.335818884236199,2.360840412052312e-10
打船,12,3,v,0.22425315934757134,5.624231192323778,1.8633595999517638e-08
冻成,12,3,v,0.02390908527265017,0.659792469445482,0.5093870165490877
连降,12,3,v,0.058862482118595946,1.5259223891817348,0.12702919407733892
未归,12,3,v,0.031001914919478953,0.8355496926929641,0.4034082802092227
奋战,12,3,v,0.06872115612712149,1.770216028662457,0.0766911601742648
组织,12,3,v,0.176373649623159,4.437797836578944,9.088391734968226e-06
惊雷,11,3,v,-0.03529959235559208,-0.8107134968761898,0.4175302206319482
乱跑,11,3,v,0.011467103339573471,0.3529399759122741,0.7241334404540347
侵扰,11,3,v,0.09416640672076725,2.4106720894654856,0.015923157377586206
淋到,11,3,v,0.007065647237050228,0.24342251689802508,0.807678102347003
放回,11,3,v,-0.002224212787513577,0.012271315843213669,0.9902091522746959
